Нас. пункт;Улица;Номер;Корпус;Литера;Метро
﻿Санкт-Петербург;1-й Муринский;2;;;Лесная
﻿Санкт-Петербург;1-й Муринский;13;;;Лесная
﻿Санкт-Петербург;1-й Муринский;19;;;Лесная
﻿Санкт-Петербург;1-й Предпортовый;14;;;Московская
﻿Санкт-Петербург;1-й Рабфаковский;2;;;Пролетарская
﻿Санкт-Петербург;1-й Рабфаковский;3;;;Пролетарская
﻿Санкт-Петербург;1-й Рабфаковский;6;;;Ломоносовская
﻿Санкт-Петербург;1-й Рабфаковский;7;;;Пролетарская
﻿Санкт-Петербург;1-й Рабфаковский;9;1;;Пролетарская
﻿Санкт-Петербург;1-й Рабфаковский;11;;;Пролетарская
﻿Санкт-Петербург;1-я Линия;4;;;Василеостровская
﻿Санкт-Петербург;1-я Линия;8;;;Василеостровская
﻿Санкт-Петербург;1-я Линия;17;;;Василеостровская
﻿Санкт-Петербург;1-я Линия;24;;;Василеостровская
﻿Санкт-Петербург;1-я Линия;28;;;Василеостровская
﻿Санкт-Петербург;1-я Линия;38;;;Василеостровская
﻿Санкт-Петербург;1-я Линия;40;;;Василеостровская
﻿Санкт-Петербург;1-я Линия;42;;;Василеостровская
﻿Санкт-Петербург;1-я Линия;44;;;Василеостровская
﻿Санкт-Петербург;1-я Линия;48;;;Спортивная
﻿Санкт-Петербург;1-я Линия;56;;;Спортивная
﻿Санкт-Петербург;1-я Никитинская;17;;;Пионерская
﻿Санкт-Петербург;1-я Никитинская;19;;;Пионерская
﻿Санкт-Петербург;1-я Никитинская;30;;А;Удельная
﻿Санкт-Петербург;1-я Никитинская;30;;;Удельная
﻿Санкт-Петербург;1-я Полевая;24;;;Удельная
﻿Санкт-Петербург;1-я Советская;10;;;Восстания пл.
﻿Санкт-Петербург;1-я Советская;12;;;Восстания пл.
﻿Санкт-Петербург;1-я Утиная;12;;;Удельная
﻿Санкт-Петербург;1-я Утиная;28;1;;Озерки
﻿Санкт-Петербург;1-я Утиная;28;;;Удельная
﻿Санкт-Петербург;1-я Утиная;28;;;Озерки
﻿Санкт-Петербург;1-я Утиная;32;;;Удельная
﻿Санкт-Петербург;10-я Линия;9;;;Василеостровская
﻿Санкт-Петербург;10-я Линия;15;;;Василеостровская
﻿Санкт-Петербург;10-я Линия;16;;;Василеостровская
﻿Санкт-Петербург;10-я Линия;39;;;Василеостровская
﻿Санкт-Петербург;10-я Линия;43;;;Василеостровская
﻿Санкт-Петербург;10-я Линия;45;;;Василеостровская
﻿Санкт-Петербург;10-я Советская;8;;А;Восстания пл.
﻿Санкт-Петербург;10-я Советская;10;;А;Чернышевская
﻿Санкт-Петербург;10-я Советская;14;;;Восстания пл.
﻿Санкт-Петербург;10-я Советская;16;;;Восстания пл.
﻿Санкт-Петербург;10-я Советская;19;;;Восстания пл.
﻿Санкт-Петербург;10-я Советская;20;;;Восстания пл.
﻿Санкт-Петербург;10-я Советская;21;;;Восстания пл.
﻿Санкт-Петербург;10-я Советская;21;;;А.Hевского пл.
﻿Санкт-Петербург;11-я Линия;16;;;Василеостровская
﻿Санкт-Петербург;11-я Линия;24;;;Василеостровская
﻿Санкт-Петербург;11-я Линия;28;;;Василеостровская
﻿Санкт-Петербург;11-я Линия;30;;;Василеостровская
﻿Санкт-Петербург;11-я Линия;32;;;Василеостровская
﻿Санкт-Петербург;11-я Линия;36;;;Василеостровская
﻿Санкт-Петербург;11-я Линия;40;;;Василеостровская
﻿Санкт-Петербург;11-я Линия;44;;;Василеостровская
﻿Санкт-Петербург;11-я Линия;46;;;Василеостровская
﻿Санкт-Петербург;11-я Линия;48;;;Василеостровская
﻿Санкт-Петербург;11-я Линия;52;;;Василеостровская
﻿Санкт-Петербург;11-я Линия;58;;;Василеостровская
﻿Санкт-Петербург;11-я Линия;60;;;Василеостровская
﻿Санкт-Петербург;12-я Линия;13;;;Василеостровская
﻿Санкт-Петербург;12-я Линия;19;;;Василеостровская
﻿Санкт-Петербург;12-я Линия;33;;;Василеостровская
﻿Санкт-Петербург;12-я Линия;35;;;Василеостровская
﻿Санкт-Петербург;12-я Линия;37;;;Василеостровская
﻿Санкт-Петербург;12-я Линия;53;;;Василеостровская
﻿Санкт-Петербург;12-я Линия;55;;;Василеостровская
﻿Санкт-Петербург;13-я Линия;2;;;Василеостровская
﻿Санкт-Петербург;13-я Линия;20;;А;Василеостровская
﻿Санкт-Петербург;13-я Линия;24;;;Василеостровская
﻿Санкт-Петербург;13-я Линия;30;;;Василеостровская
﻿Санкт-Петербург;13-я Линия;32;;;Василеостровская
﻿Санкт-Петербург;13-я Линия;42;;;Василеостровская
﻿Санкт-Петербург;13-я Линия;42;;А;Василеостровская
﻿Санкт-Петербург;13-я Линия;54;;;Василеостровская
﻿Санкт-Петербург;13-я Линия;56;;;Василеостровская
﻿Санкт-Петербург;13-я Линия;58;;;Василеостровская
﻿Санкт-Петербург;13-я Линия;64;;;Василеостровская
﻿Санкт-Петербург;14-я Линия;3;;;Василеостровская
﻿Санкт-Петербург;14-я Линия;21;;;Василеостровская
﻿Санкт-Петербург;14-я Линия;45;;;Василеостровская
﻿Санкт-Петербург;14-я Линия;67;;;Василеостровская
﻿Санкт-Петербург;14-я Линия;73;;;Василеостровская
﻿Санкт-Петербург;14-я Линия;91;;;Василеостровская
﻿Санкт-Петербург;14-я Линия;93;;;Василеостровская
﻿Санкт-Петербург;14-я Линия;95;;;Василеостровская
﻿Санкт-Петербург;14-я Линия;97;;;Василеостровская
﻿Санкт-Петербург;15-я Линия;8;;;Василеостровская
﻿Санкт-Петербург;15-я Линия;16;;;Василеостровская
﻿Санкт-Петербург;15-я Линия;18;;;Василеостровская
﻿Санкт-Петербург;15-я Линия;22;;;Василеостровская
﻿Санкт-Петербург;15-я Линия;28;;;Василеостровская
﻿Санкт-Петербург;15-я Линия;34;;А;Василеостровская
﻿Санкт-Петербург;15-я Линия;34;;;Василеостровская
﻿Санкт-Петербург;15-я Линия;38;;;Василеостровская
﻿Санкт-Петербург;15-я Линия;42;;;Василеостровская
﻿Санкт-Петербург;15-я Линия;44;;;Василеостровская
﻿Санкт-Петербург;15-я Линия;46;;;Василеостровская
﻿Санкт-Петербург;15-я Линия;48;;;Василеостровская
﻿Санкт-Петербург;15-я Линия;58;;;Василеостровская
﻿Санкт-Петербург;15-я Линия;60;;;Василеостровская
﻿Санкт-Петербург;15-я Линия;62;;;Василеостровская
﻿Санкт-Петербург;15-я Линия;68;;;Спортивная
﻿Санкт-Петербург;15-я Линия;68;;;Василеостровская
﻿Санкт-Петербург;15-я Линия;70;;;Василеостровская
﻿Санкт-Петербург;15-я Линия;72;;;Василеостровская
﻿Санкт-Петербург;15-я Линия;74;;;Василеостровская
﻿Санкт-Петербург;15-я Линия;76;;;Василеостровская
﻿Санкт-Петербург;15-я Линия;88;;;Василеостровская
﻿Санкт-Петербург;16-я Линия;37;;;Василеостровская
﻿Санкт-Петербург;16-я Линия;39;;;Василеостровская
﻿Санкт-Петербург;16-я Линия;47;;;Василеостровская
﻿Санкт-Петербург;16-я Линия;49;;А;Василеостровская
﻿Санкт-Петербург;16-я Линия;49;;;Василеостровская
﻿Санкт-Петербург;16-я Линия;65;;Б;Василеостровская
﻿Санкт-Петербург;16-я Линия;65;;;Василеостровская
﻿Санкт-Петербург;16-я Линия;69;;;Василеостровская
﻿Санкт-Петербург;16-я Линия;73;;;Василеостровская
﻿Санкт-Петербург;16-я Линия;77;;;Василеостровская
﻿Санкт-Петербург;17-я Линия;10;;;Василеостровская
﻿Санкт-Петербург;17-я Линия;12;;;Василеостровская
﻿Санкт-Петербург;17-я Линия;14;;;Василеостровская
﻿Санкт-Петербург;17-я Линия;18;2;;Василеостровская
﻿Санкт-Петербург;17-я Линия;18;4;;Василеостровская
﻿Санкт-Петербург;17-я Линия;18;;;Василеостровская
﻿Санкт-Петербург;17-я Линия;38;;;Василеостровская
﻿Санкт-Петербург;17-я Линия;42;4;;Василеостровская
﻿Санкт-Петербург;17-я Линия;42;;Ж;Василеостровская
﻿Санкт-Петербург;17-я Линия;42;;В;Василеостровская
﻿Санкт-Петербург;17-я Линия;68;;;Василеостровская
﻿Санкт-Петербург;18-я Линия;9;;;Василеостровская
﻿Санкт-Петербург;18-я Линия;11;;;Василеостровская
﻿Санкт-Петербург;18-я Линия;12;2;;Василеостровская
﻿Санкт-Петербург;18-я Линия;13;;;Василеостровская
﻿Санкт-Петербург;18-я Линия;13;;Б;Василеостровская
﻿Санкт-Петербург;18-я Линия;17;;;Василеостровская
﻿Санкт-Петербург;18-я Линия;19;;;Василеостровская
﻿Санкт-Петербург;18-я Линия;21;;;Василеостровская
﻿Санкт-Петербург;18-я Линия;23;;;Василеостровская
﻿Санкт-Петербург;18-я Линия;25;;А;Василеостровская
﻿Санкт-Петербург;18-я Линия;43;;;Василеостровская
﻿Санкт-Петербург;18-я Линия;45;1;;Василеостровская
﻿Санкт-Петербург;18-я Линия;45;;;Василеостровская
﻿Санкт-Петербург;18-я Линия;49;1;;Василеостровская
﻿Санкт-Петербург;18-я Линия;49;4;А;Василеостровская
﻿Санкт-Петербург;18-я Линия;49;;;Василеостровская
﻿Санкт-Петербург;19-я Линия;8;;;Василеостровская
﻿Санкт-Петербург;19-я Линия;12;;;Василеостровская
﻿Санкт-Петербург;2-й Муринский;3;1;;Удельная
﻿Санкт-Петербург;2-й Муринский;3;2;;Пионерская
﻿Санкт-Петербург;2-й Муринский;3;;;Мужества пл.
﻿Санкт-Петербург;2-й Муринский;3;;;Пионерская
﻿Санкт-Петербург;2-й Муринский;7;;;Мужества пл.
﻿Санкт-Петербург;2-й Муринский;8;1;;Удельная
﻿Санкт-Петербург;2-й Муринский;11;;;Мужества пл.
﻿Санкт-Петербург;2-й Муринский;14;;;Мужества пл.
﻿Санкт-Петербург;2-й Муринский;15;;;Мужества пл.
﻿Санкт-Петербург;2-й Муринский;19;;;Пионерская
﻿Санкт-Петербург;2-й Муринский;29;;;Академическая
﻿Санкт-Петербург;2-й Муринский;30;;;Мужества пл.
﻿Санкт-Петербург;2-й Муринский;34;1;;Мужества пл.
﻿Санкт-Петербург;2-й Рабфаковский;2;;;Пролетарская
﻿Санкт-Петербург;2-й Рабфаковский;3;;;Пролетарская
﻿Санкт-Петербург;2-й Рабфаковский;3;;;Обухово
﻿Санкт-Петербург;2-й Рабфаковский;5;3;;Елизаровская
﻿Санкт-Петербург;2-й Рабфаковский;5;3;;Пролетарская
﻿Санкт-Петербург;2-й Рабфаковский;7;1;;Пролетарская
﻿Санкт-Петербург;2-й Рабфаковский;7;;;Обухово
﻿Санкт-Петербург;2-й Рабфаковский;11;;;Обухово
﻿Санкт-Петербург;2-й Рабфаковский;15;1;;Обухово
﻿Санкт-Петербург;2-й Рабфаковский;15;1;;Пролетарская
﻿Санкт-Петербург;2-й Рабфаковский;15;2;;Обухово
﻿Санкт-Петербург;2-я Алексеевская;7;;;Пионерская
﻿Санкт-Петербург;2-я Березовая аллея;13;;;Крестовский остров
﻿Санкт-Петербург;2-я Березовая аллея;34;;;Крестовский остров
﻿Санкт-Петербург;2-я Березовая аллея;34;;;Черная речка
﻿Санкт-Петербург;2-я Комсомольская;33;1;;Ветеранов пр.
﻿Санкт-Петербург;2-я Комсомольская;36;1;;Ветеранов пр.
﻿Санкт-Петербург;2-я Комсомольская;36;2;;Ветеранов пр.
﻿Санкт-Петербург;2-я Комсомольская;40;1;;Ветеранов пр.
﻿Санкт-Петербург;2-я Комсомольская;40;3;;Ветеранов пр.
﻿Санкт-Петербург;2-я Комсомольская;46;;;Ветеранов пр.
﻿Санкт-Петербург;2-я Комсомольская;48;;;Ветеранов пр.
﻿Санкт-Петербург;2-я Комсомольская;53;;;Ветеранов пр.
﻿Санкт-Петербург;2-я Комсомольская;54;;;Ветеранов пр.
﻿Санкт-Петербург;2-я Комсомольская;55;;;Ветеранов пр.
﻿Санкт-Петербург;2-я Комсомольская;57;2;;Ветеранов пр.
﻿Санкт-Петербург;2-я Линия;3;;;Василеостровская
﻿Санкт-Петербург;2-я Линия;7;;;Василеостровская
﻿Санкт-Петербург;2-я Линия;13;;;Василеостровская
﻿Санкт-Петербург;2-я Линия;17;;;Василеостровская
﻿Санкт-Петербург;2-я Линия;25;;;Василеостровская
﻿Санкт-Петербург;2-я Линия;29;;;Василеостровская
﻿Санкт-Петербург;2-я Линия;59;;;Спортивная
﻿Санкт-Петербург;2-я Поперечная;3;;;Ладожская
﻿Санкт-Петербург;2-я Советская;4;;;Восстания пл.
﻿Санкт-Петербург;2-я Советская;12;;;Восстания пл.
﻿Санкт-Петербург;2-я Советская;14;4;;Восстания пл.
﻿Санкт-Петербург;2-я Советская;18;;;Восстания пл.
﻿Санкт-Петербург;2-я Советская;25;;;Восстания пл.
﻿Санкт-Петербург;2-я Советская;27;2;;Восстания пл.
﻿Санкт-Петербург;20-я Линия;3;;;Василеостровская
﻿Санкт-Петербург;20-я Линия;17;;;Василеостровская
﻿Санкт-Петербург;21-я Линия;16;1;;Василеостровская
﻿Санкт-Петербург;21-я Линия;16;5;;Василеостровская
﻿Санкт-Петербург;21-я Линия;16;6;;Василеостровская
﻿Санкт-Петербург;21-я Линия;16;8;;Василеостровская
﻿Санкт-Петербург;21-я Линия;16;;;Василеостровская
﻿Санкт-Петербург;24-я Линия;13;;А;Василеостровская
﻿Санкт-Петербург;24-я Линия;29;;;Василеостровская
﻿Санкт-Петербург;24-я Линия;29;;А;Василеостровская
﻿Санкт-Петербург;24-я Линия;64;1;;Василеостровская
﻿Санкт-Петербург;26-я Линия;7;;;Приморская
﻿Санкт-Петербург;26-я Линия;15;;;Василеостровская
﻿Санкт-Петербург;27-я Линия;8;;;Василеостровская
﻿Санкт-Петербург;27-я Линия;10;;;Василеостровская
﻿Санкт-Петербург;27-я Линия;12;;;Василеостровская
﻿Санкт-Петербург;27-я Линия;16;;;Василеостровская
﻿Санкт-Петербург;27-я Линия;16;;Б;Василеостровская
﻿Санкт-Петербург;27-я Линия;16;;;Приморская
﻿Санкт-Петербург;3-й Рабфаковский;8;;;Обухово
﻿Санкт-Петербург;3-й Рабфаковский;10;1;;Обухово
﻿Санкт-Петербург;3-я Линия;10;;;Василеостровская
﻿Санкт-Петербург;3-я Линия;20;;;Василеостровская
﻿Санкт-Петербург;3-я Линия;24;;;Василеостровская
﻿Санкт-Петербург;3-я Линия;46;;;Василеостровская
﻿Санкт-Петербург;3-я Линия;48;;;Василеостровская
﻿Санкт-Петербург;3-я Линия;56;;;Спортивная
﻿Санкт-Петербург;3-я Линия;56;;;Василеостровская
﻿Санкт-Петербург;3-я Линия 1-й половины;33;;;Удельная
﻿Санкт-Петербург;3-я Линия 1-й половины;69;;;Пионерская
﻿Санкт-Петербург;3-я Советская;6;;;Восстания пл.
﻿Санкт-Петербург;3-я Советская;7;;;Восстания пл.
﻿Санкт-Петербург;3-я Советская;12;;;Восстания пл.
﻿Санкт-Петербург;3-я Советская;14;;;Восстания пл.
﻿Санкт-Петербург;3-я Советская;20;5;;Восстания пл.
﻿Санкт-Петербург;3-я Советская;20;;;Восстания пл.
﻿Санкт-Петербург;4-я Линия;3;;;Василеостровская
﻿Санкт-Петербург;4-я Линия;39;;;Василеостровская
﻿Санкт-Петербург;4-я Линия;41;;;Василеостровская
﻿Санкт-Петербург;4-я Линия;59;;;Василеостровская
﻿Санкт-Петербург;4-я Советская;3;;А;Восстания пл.
﻿Санкт-Петербург;4-я Советская;9;;А;Восстания пл.
﻿Санкт-Петербург;4-я Советская;9;;;Восстания пл.
﻿Санкт-Петербург;4-я Советская;9;;;Маяковская
﻿Санкт-Петербург;4-я Советская;14;;;Восстания пл.
﻿Санкт-Петербург;4-я Советская;20;;;Восстания пл.
﻿Санкт-Петербург;4-я Советская;32;;;Восстания пл.
﻿Санкт-Петербург;4-я Советская;37;;;Восстания пл.
﻿Санкт-Петербург;4-я Советская;37;;А;Восстания пл.
﻿Санкт-Петербург;4-я Советская;37;;Б;А.Hевского пл.
﻿Санкт-Петербург;4-я Советская;38;;;Восстания пл.
﻿Санкт-Петербург;4-я Советская;45;;;Восстания пл.
﻿Санкт-Петербург;4-я Советская;46;8;;Восстания пл.
﻿Санкт-Петербург;5-й Предпортовый;1;;;Московская
﻿Санкт-Петербург;5-й Предпортовый;2;;;Московская
﻿Санкт-Петербург;5-й Предпортовый;6;2;;Московская
﻿Санкт-Петербург;5-й Предпортовый;8;1;;Московская
﻿Санкт-Петербург;5-й Предпортовый;8;;;Московская
﻿Санкт-Петербург;5-й Предпортовый;10;1;;Московская
﻿Санкт-Петербург;5-й Предпортовый;10;2;;Московская
﻿Санкт-Петербург;5-й Предпортовый;12;1;;Московская
﻿Санкт-Петербург;5-й Предпортовый;12;2;;Московская
﻿Санкт-Петербург;5-й Предпортовый;12;;;Московская
﻿Санкт-Петербург;5-я Линия;8;;;Василеостровская
﻿Санкт-Петербург;5-я Линия;34;;;Василеостровская
﻿Санкт-Петербург;5-я Линия;36;;;Василеостровская
﻿Санкт-Петербург;5-я Линия;40;;;Василеостровская
﻿Санкт-Петербург;5-я Линия;46;;;Василеостровская
﻿Санкт-Петербург;5-я Линия;50;;;Василеостровская
﻿Санкт-Петербург;5-я Советская;4;;;Восстания пл.
﻿Санкт-Петербург;5-я Советская;7;;;Маяковская
﻿Санкт-Петербург;5-я Советская;7;;;Восстания пл.
﻿Санкт-Петербург;5-я Советская;11;;А;Восстания пл.
﻿Санкт-Петербург;5-я Советская;21;;;Восстания пл.
﻿Санкт-Петербург;5-я Советская;23;;;Восстания пл.
﻿Санкт-Петербург;5-я Советская;24;;;Восстания пл.
﻿Санкт-Петербург;5-я Советская;25;;;Восстания пл.
﻿Санкт-Петербург;5-я Советская;27;;;Восстания пл.
﻿Санкт-Петербург;5-я Советская;28;;;Восстания пл.
﻿Санкт-Петербург;5-я Советская;38;;;Восстания пл.
﻿Санкт-Петербург;5-я Советская;43;;;Восстания пл.
﻿Санкт-Петербург;5-я Советская;47;;;Восстания пл.
﻿Санкт-Петербург;5-я Советская;49;10;;Восстания пл.
﻿Санкт-Петербург;5-я Советская;49;;;Восстания пл.
﻿Санкт-Петербург;6-я Линия;5;;;Василеостровская
﻿Санкт-Петербург;6-я Линия;7;;;Василеостровская
﻿Санкт-Петербург;6-я Линия;17;;;Василеостровская
﻿Санкт-Петербург;6-я Линия;29;;;Василеостровская
﻿Санкт-Петербург;6-я Линия;39;;;Василеостровская
﻿Санкт-Петербург;6-я Линия;41;;А;Василеостровская
﻿Санкт-Петербург;6-я Линия;43;;;Василеостровская
﻿Санкт-Петербург;6-я Линия;47;;;Василеостровская
﻿Санкт-Петербург;6-я Линия;49;;;Василеостровская
﻿Санкт-Петербург;6-я Линия;51;;;Василеостровская
﻿Санкт-Петербург;6-я Линия;53;;;Спортивная
﻿Санкт-Петербург;6-я Линия;75;;;Василеостровская
﻿Санкт-Петербург;6-я Советская;4;;;Восстания пл.
﻿Санкт-Петербург;6-я Советская;8;;;Восстания пл.
﻿Санкт-Петербург;6-я Советская;13;;;Восстания пл.
﻿Санкт-Петербург;6-я Советская;20;;;Восстания пл.
﻿Санкт-Петербург;6-я Советская;22;;;Восстания пл.
﻿Санкт-Петербург;6-я Советская;32;;;Восстания пл.
﻿Санкт-Петербург;6-я Советская;33;;;Восстания пл.
﻿Санкт-Петербург;6-я Советская;34;;;Восстания пл.
﻿Санкт-Петербург;7-я Линия;2;;;Василеостровская
﻿Санкт-Петербург;7-я Линия;4;;;Василеостровская
﻿Санкт-Петербург;7-я Линия;28;;;Василеостровская
﻿Санкт-Петербург;7-я Линия;32;;;Василеостровская
﻿Санкт-Петербург;7-я Линия;34;;;Василеостровская
﻿Санкт-Петербург;7-я Линия;38;;;Василеостровская
﻿Санкт-Петербург;7-я Линия;42;;;Василеостровская
﻿Санкт-Петербург;7-я Линия;60;;;Василеостровская
﻿Санкт-Петербург;7-я Линия;72;;;Василеостровская
﻿Санкт-Петербург;7-я Линия;74;;;Василеостровская
﻿Санкт-Петербург;7-я Советская;6;;;Восстания пл.
﻿Санкт-Петербург;7-я Советская;7;;;Восстания пл.
﻿Санкт-Петербург;7-я Советская;9;;;Восстания пл.
﻿Санкт-Петербург;7-я Советская;10;;;Восстания пл.
﻿Санкт-Петербург;7-я Советская;18;;;Восстания пл.
﻿Санкт-Петербург;7-я Советская;22;;;Восстания пл.
﻿Санкт-Петербург;7-я Советская;27;;;А.Hевского пл.
﻿Санкт-Петербург;7-я Советская;31;;;Восстания пл.
﻿Санкт-Петербург;7-я Советская;36;;;Восстания пл.
﻿Санкт-Петербург;8-я Линия;1;;;Василеостровская
﻿Санкт-Петербург;8-я Линия;3;;А;Василеостровская
﻿Санкт-Петербург;8-я Линия;17;;;Василеостровская
﻿Санкт-Петербург;8-я Линия;19;;А;Василеостровская
﻿Санкт-Петербург;8-я Линия;27;;;Василеостровская
﻿Санкт-Петербург;8-я Линия;33;;;Василеостровская
﻿Санкт-Петербург;8-я Линия;37;;;Василеостровская
﻿Санкт-Петербург;8-я Линия;39;;;Василеостровская
﻿Санкт-Петербург;8-я Линия;43;;;Василеостровская
﻿Санкт-Петербург;8-я Линия;45;;;Василеостровская
﻿Санкт-Петербург;8-я Линия;53;;;Василеостровская
﻿Санкт-Петербург;8-я Линия;55;;;Василеостровская
﻿Санкт-Петербург;8-я Линия;57;;;Василеостровская
﻿Санкт-Петербург;8-я Линия;59;;;Василеостровская
﻿Санкт-Петербург;8-я Линия;85;;;Василеостровская
﻿Санкт-Петербург;8-я Линия;85;;А;Василеостровская
﻿Санкт-Петербург;8-я Советская;12;;Б;Восстания пл.
﻿Санкт-Петербург;8-я Советская;14;;;Восстания пл.
﻿Санкт-Петербург;8-я Советская;25;;;А.Hевского пл.
﻿Санкт-Петербург;8-я Советская;25;;;Чернышевская
﻿Санкт-Петербург;8-я Советская;34;;;Восстания пл.
﻿Санкт-Петербург;8-я Советская;38;;;Восстания пл.
﻿Санкт-Петербург;8-я Советская;42;;;Восстания пл.
﻿Санкт-Петербург;8-я Советская;43;;;А.Hевского пл.
﻿Санкт-Петербург;8-я Советская;44;;;Восстания пл.
﻿Санкт-Петербург;8-я Советская;46;;;Восстания пл.
﻿Санкт-Петербург;8-я Советская;47;;;Восстания пл.
﻿Санкт-Петербург;8-я Советская;49;;;Восстания пл.
﻿Санкт-Петербург;8-я Советская;50;;;Чернышевская
﻿Санкт-Петербург;8-я Советская;50;;;А.Hевского пл.
﻿Санкт-Петербург;8-я Советская;50;;;Восстания пл.
﻿Санкт-Петербург;8-я Советская;51;8;;А.Hевского пл.
﻿Санкт-Петербург;8-я Советская;51;;;Восстания пл.
﻿Санкт-Петербург;8-я Советская;57;;;А.Hевского пл.
﻿Санкт-Петербург;9-я Линия;2;;;Василеостровская
﻿Санкт-Петербург;9-я Линия;18;;;Василеостровская
﻿Санкт-Петербург;9-я Линия;20;;;Василеостровская
﻿Санкт-Петербург;9-я Линия;42;;;Василеостровская
﻿Санкт-Петербург;9-я Линия;44;;;Василеостровская
﻿Санкт-Петербург;9-я Линия;48;;;Василеостровская
﻿Санкт-Петербург;9-я Линия;54;;;Василеостровская
﻿Санкт-Петербург;9-я Линия;58;;;Василеостровская
﻿Санкт-Петербург;9-я Советская;5;;;Восстания пл.
﻿Санкт-Петербург;9-я Советская;5;;;Чернышевская
﻿Санкт-Петербург;9-я Советская;10;;;А.Hевского пл.
﻿Санкт-Петербург;9-я Советская;11;;;Восстания пл.
﻿Санкт-Петербург;9-я Советская;14;;;Восстания пл.
﻿Санкт-Петербург;9-я Советская;15;;;Восстания пл.
﻿Санкт-Петербург;9-я Советская;22;;;Восстания пл.
﻿Санкт-Петербург;9-я Советская;32;;;Восстания пл.
﻿Санкт-Петербург;Авангардная;2;;;Автово
﻿Санкт-Петербург;Авангардная;3;;;Ветеранов пр.
﻿Санкт-Петербург;Авангардная;6;;;Ветеранов пр.
﻿Санкт-Петербург;Авангардная;9;;;Ветеранов пр.
﻿Санкт-Петербург;Авангардная;11;;;Ветеранов пр.
﻿Санкт-Петербург;Авангардная;13;;;Ветеранов пр.
﻿Санкт-Петербург;Авангардная;23;;;Ветеранов пр.
﻿Санкт-Петербург;Авангардная;26;1;;Ветеранов пр.
﻿Санкт-Петербург;Авангардная;27;;;Ветеранов пр.
﻿Санкт-Петербург;Авангардная;33;;;Ветеранов пр.
﻿Санкт-Петербург;Авангардная;41;;;Ветеранов пр.
﻿Санкт-Петербург;Авангардная;45;1;;Ветеранов пр.
﻿Санкт-Петербург;Авангардная;45;;;Ветеранов пр.
﻿Санкт-Петербург;Авангардная;47;;;Ветеранов пр.
﻿Санкт-Петербург;Авангардная;51;;;Ветеранов пр.
﻿Санкт-Петербург;Авангардная;53;1;;Ветеранов пр.
﻿Санкт-Петербург;Авангардная;53;;;Ветеранов пр.
﻿Санкт-Петербург;Авиаконструкторов;1;;;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;2;;;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;3;1;;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;3;2;;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;3;;;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;4;1;;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;4;;;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;6;;;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;8;2;;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;10;;;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;11;1;;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;12;;;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;13;1;;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;13;;;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;14;3;;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;15;1;;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;15;;;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;16;1;;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;16;;;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;17;1;;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;18;3;;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;18;3;А;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;19;;;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;20;1;;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;20;;;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;23;;;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;25;1;;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;25;;;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;27;1;;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;29;1;А;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;29;1;;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;29;2;;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;31;1;;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;31;;;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;32;;;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;33;;;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;36;;;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;37;1;;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;38;1;;Комендантский пр.
﻿Санкт-Петербург;Авиаконструкторов;38;2;;Комендантский пр.
