Район;Улица;Номер;Корпус;Литер;Кол-во комнат;Площадь;Этаж;Цена;Метро;Откуда взято
Выборгский;Тореза пр.;118;;;Студия Н;75,76;;8522000;Озерки;https://www.emls.ru/fullinfo/4/332441.html
Выборгский;Тореза пр.;118;;;Студия Н;75,76;19;10227000;Озерки;
Выборгский;Большой Сампсониевский пр.;77;;;Студия Н;75,76;13;9966000;Лесная;
Выборгский;Большой Сампсониевский пр.;77;;;Студия Н;75,78;12;9870000;Лесная;
Выборгский;Грибалевой ул.;9;;;Студия Н;75,78;10;11579000;Лесная;
Выборгский;Заречная ул.;10;;;Студия Н;75,8;23;8349000;Парнас;
﻿Выборгский;Грибалевой ул.;10;;;Студия Н;75,8;12;11051000;Лесная;
Выборгский;Большой Сампсониевский пр.;77;;;Студия Н;75,87;8;9558000;Лесная;
Выборгский;Большой Сампсониевский пр.;77;;;Студия Н;75,88;10;9292000;Лесная;
Выборгский;Заречная ул.;10;;;Студия Н;75,9;21;7925000;Парнас;
Выборгский;Заречная ул.;10;;;Студия Н;76;22;7796000;Парнас;
Выборгский;Грибалевой ул.;10;;;Студия Н;76;10;10788000;Лесная;
Выборгский;Большой Сампсониевский пр.;77;;;Студия Н;76,01;14;10001000;Лесная;
Выборгский;Заречная ул.;10;;;Студия Н;76,1;23;8336000;Парнас;
Выборгский;Заречная ул.;10;;;Студия Н;76,2;23;8253000;Парнас;
Выборгский;Заречная ул.;10;;;Студия Н;76,3;21;7864000;Парнас;
﻿Выборгский;Грибалевой ул.;9;;;Студия Н;76,37;2;11027000;Лесная;
Выборгский;Большой Сампсониевский пр.;77;;;Студия Н;76,53;13;10109000;Лесная;
Выборгский;Грибалевой ул.;7;4;;Студия Н;76,6;;10359000;Лесная;https://www.emls.ru/fullinfo/4/332141.html
Выборгский;Грибалевой ул.;10;;;Студия Н;76,75;10;11437000;Лесная;
Выборгский;Грибалевой ул.;9;;;Студия Н;77,32;2;11134000;Лесная;
Выборгский;Грибалевой ул.;9;;;Студия Н;78,07;3;11523000;Лесная;
Выборгский;Ярославский пр.;27;;;Студия Н;78,6;;11300000;Удельная;https://www.emls.ru/fullinfo/4/706821100.html
Выборгский;Ярославский пр.;27;;;Студия Н;78,6;1;11450000;Удельная;
Выборгский;Светлановский пр.;121;1;А;Студия Н;78,87;15;8596000;;
