Район;Улица;Номер;Корпус;Литер;Кол-во комнат;Площадь;Этаж;Цена;Метро;Откуда взято
﻿Адмиралтейский;Парфеновская ул.;11;1;;Студия;29,25;8;4595000;Фрунзенская;https://www.emls.ru/fullinfo/4/706821268.html
Адмиралтейский;Парфеновская ул.;11;1;;Студия;28,21;7;4595000;Фрунзенская;https://www.emls.ru/fullinfo/1/706564976.html
Адмиралтейский;Парфеновская ул.;11;1;;Студия;30,4;7;4600000;Фрунзенская;https://www.emls.ru/fullinfo/1/706569304.html
Адмиралтейский;Парфеновская ул.;9;1;;Студия;29,23;12;4600000;Фрунзенская;https://www.emls.ru/fullinfo/1/1416940.html
Адмиралтейский;Парфеновская ул.;9;1;;Студия;29,23;10;4690000;Фрунзенская;https://www.emls.ru/fullinfo/1/706564975.html
Адмиралтейский;Парфеновская ул.;11;1;;Студия;30,42;2;4740000;Фрунзенская;https://www.emls.ru/fullinfo/1/706564058.html
Адмиралтейский;Парфеновская ул.;9;;;Студия;33;7;4880000;Фрунзенская;https://www.emls.ru/fullinfo/1/1459314.html
Адмиралтейский;Парфеновская ул.;9;1;;Студия;32,73;4;4880000;Фрунзенская;https://www.emls.ru/fullinfo/1/706564765.html
Адмиралтейский;Парфеновская ул.;9;1;;Студия;33;7;4890000;Фрунзенская;https://www.emls.ru/fullinfo/4/332569.html
Адмиралтейский;Почтамтская ул.;8;;а;Студия;26,2;1;5150000;Адмиралтейская;https://www.emls.ru/fullinfo/1/1432259.html
﻿Адмиралтейский;Шкапина ул.;9;;;Студия;30,2;4;5301000;Балтийская;https://www.emls.ru/fullinfo/1/706555999.html
Адмиралтейский;Шкапина ул.;9-11;;;Студия;30;5;5400000;Балтийская;https://www.emls.ru/fullinfo/1/1457796.html
Адмиралтейский;Московский пр.;73;5;;Студия;25,2;7;5400000;Фрунзенская;https://www.emls.ru/fullinfo/1/1459946.html
