Район;Улица;Номер;Корпус;Литер;Кол-во комнат;Площадь;Этаж;Этажей;Цена;Метро;Дата постройки;Дата реконструкции;Даты кап. ремонты;Общая пл. здания, м2;Жилая пл., м2;Пл. нежелых помещений м2;Мансарда м2;Кол-во проживающих;Центральное отопление;Центральное ГВС;Центральное ЭС;Центарльное ГС;Тип Квартир;Кол-во квартир;Дата ТЭП;Виды кап. ремонта;Общее кол-во лифтов;Расстояние пешком;Время пешком;Расстояние на машине;Время на машине;Откуда взято
﻿Адмиралтейский;4-я Красноармейская ул.;18;;;4 км. кв.;110,60;5;0;11800000;Технологический институт;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;751 м;9 мин;715 м;2 мин;https://www.bn.ru/detail/flats/2923522/
Адмиралтейский;Рижский;25;;;5 км. кв.;150,00;2;5;11830000;Балтийская;1917;1960;2006, 2007, 2007, 2007, 2010, 2010, 2010, 2010;946,4;475,2;354,3;0;2;True;True;True;True;3 комн., 4 комн.;1, 2;01.01.1900;Асфальтирование и замощение придомовой территории, Ремонт и восстановление озеленения, Ремонт или замена системы горячего водоснабжения, Ремонт или замена системы отопления, Ремонт или замена системы отопления, Ремонт или замена системы холодного водоснабжения, Ремонт или замена системы электроснабжения, Ремонт конструкций и замена покрытий крыш;0;1600 м;19 мин;1600 м;5 мин;https://www.bn.ru/detail/flats/3152451/
Адмиралтейский;Подъездной пер;11;;;4 км. кв.;109,10;1;4;11900000;Пушкинская;1906;;;1749,3;1462;104,3;0;2;True;True;True;True;2 комн., 3 комн., 4 комн. ;1, 6, 3 ;21.10.2013;;0;497 м;5 мин;504 м;4 мин;https://www.bn.ru/detail/flats/2674688/
Адмиралтейский;Бронницкая;13;;;5 км. кв.;133,40;5;0;12000000;Технологический институт;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;453 м;5 мин;595 м;2 мин;https://www.bn.ru/detail/flats/3186861/
Адмиралтейский;наб.реки Мойки;84;;;5 км. кв.;113,00;2;4;12000000;Сенная площадь;1837;1985;2001, 2001, 2007, 2011, 2011, 2011, 2011;6773,1;5096,8;1081;0;5;True;False;True;True;1 комн., 2 комн., 3 комн., 4 комн., 5 комн., 6 комн., 7 комн. ;3, 11, 9, 1, 2, 1, 2;19.10.2010;Расходы на изготовление проектно-сметной документации, Ремонт или восстановление внутридомовых инженерных систем, Ремонт или замена системы канализования и водоотведения, Ремонт или замена системы отопления, Ремонт или замена системы холодного водоснабжения, Ремонт или замена системы электроснабжения, Ремонт или замена системы электроснабжения;0;1500 м;18 мин;1500 м;7 мин;https://www.bn.ru/detail/flats/1386057/
Адмиралтейский;Английский;21;;;6 км. кв.;138,00;4;0;12000000;Сенная площадь;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;2400 м;28 мин;2400 м;13 мин;https://www.bn.ru/detail/flats/3206303/
Адмиралтейский;Английский;5;;;5 км. кв.;110,00;1;4;12180000;Площадь Восстания;1874;1961;2006, 2006, 2008, 2009, 2009, 2009;2537,07;2276,07;0;0;0;True;True;True;True;1 комн., 2 комн., 3 комн., 5 комн.;1, 8, 11, 1 ;12.04.2009;Благоустройство придомовой территории, Ремонт и восстановление озеленения, Ремонт или замена системы отопления, Ремонт или замена системы холодного водоснабжения, Ремонт конструкций и замена покрытий крыш, Ремонт фасадов без утепления;0;2600 м;30 мин;3000 м;11 мин;https://www.bn.ru/detail/flats/3188414/
Адмиралтейский;Фонтанки реки наб.;121;;;5 км. кв.;137,00;3;6;12300000;Сенная площадь;1913;;2002, 2002, 2003, 2004, 2005, 2006, 2006, 2006, 2007, 2007, 2008, 2008, 2008, 2009, 2015;12391,6;10125,8;1958,2;136;14;True;True;True;True;1 комн., 2 комн., 3 комн., 4 комн., 5 комн. ;10, 25, 17, 17, 6 ;14.12.2009;Капитальный ремонт лифтов (с заменой крупных узлов), Капитальный ремонт лифтов (с заменой крупных узлов), Ремонт или восстановление ОДС, Ремонт или восстановление ОДС, Ремонт или замена системы горячего водоснабжения, Ремонт или замена системы отопления, Ремонт или замена системы холодного водоснабжения, Ремонт или замена системы электроснабжения, Ремонт или замена системы электроснабжения, Ремонт конструкций и замена покрытий крыш, Ремонт фасадов без утепления, Ремонт фасадов без утепления, Ремонт фасадов без утепления, Ремонтно-строительные работы, Установка общедомовых (и квартирных при замене сетей) приборов учета потребления: тепловой энергии на нужды отопления и горячего водоснабжения, потребления холодной воды, электрической энергии, газа;5;1100 м;13 мин;1500 м;8 мин;https://www.bn.ru/detail/flats/2924319/
Адмиралтейский;Римского-Корсакова;75;;;4 км. кв.;106,40;3;5;12500000;Сенная площадь;1798-1859;1974;2006, 2007, 2009, 2011, 2014, 2015, 2016;2006,5;1296,44;388,06;0;4;True;True;True;True;1 комн., 2 комн., 3 комн., 4 комн.;3, 5, 5, 1;21.05.2013;Капитальный ремонт лифтов с полной заменой оборудования: реконструкция лифтов, Расходы на изготовление проектно-сметной документации, Ремонт или восстановление ОДС, Ремонт или замена системы отопления, Ремонт или замена системы холодного водоснабжения, Ремонт или замена системы электроснабжения, Ремонт фасадов без утепления;2;2400 м;28 мин;2300 м;7 мин;https://www.bn.ru/detail/flats/2654960/
Адмиралтейский;Римского-Корсакова;51;;;4 км. кв.;114,60;2;5;12500000;Садовая;1917;лицевая часть-1949;2006, 2006, 2008, 2008, 2008, 2017;5006,2;3316,18;890,72;0;13;True;True;True;True;1 комн., 2 комн., 3 комн., 4 комн.;8, 24, 8, 1 ;21.05.2013;Благоустройство придомовой территории, Ремонт и восстановление озеленения, Ремонт или замена системы холодного водоснабжения, Ремонт или замена системы электроснабжения, Ремонт конструкций и замена покрытий крыш, Ремонт фасадов без утепления;0;1800 м;21 мин;2300 м;12 мин;https://www.bn.ru/detail/flats/2924331/
﻿Адмиралтейский;Дойников пер;4;;;5 км. кв.;122,30;1;0;12500000;Технологический институт;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;677 м;8 мин;811 м;3 мин;https://www.bn.ru/detail/flats/2438637/
